Row Labels,Count of Passholder Type,Sum of Ending Station ID
3000,29,88312
3005,4883,14843863
3006,2708,8242425
3007,2785,8475538
3008,2156,6551454
3009,56,169275
3010,427,1295046
3011,1257,3800928
3014,4571,13878550
3016,1953,5922301
3018,1211,3677037
3019,1910,5802755
3020,528,1606328
3021,1254,3809857
3022,3893,11834912
3023,1980,6007932
3024,1646,4998988
3025,626,1904497
3026,1562,4736368
3027,2557,7766084
3028,1179,3585619
3029,1902,5779794
3030,5059,15358312
3031,4629,14055747
3032,2466,7503662
3033,709,2155614
3034,3037,9217854
3035,3406,10362493
3036,1153,3501267
3037,1174,3576757
3038,3306,10039372
3039,115,348435
3040,1023,3107101
3042,4015,12194855
3045,187,568513
3046,1348,4100513
3047,2230,6784432
3048,3005,9138774
3049,3154,9585785
3051,2062,6270233
3052,2253,6833572
3053,13,39549
3054,865,2633290
3055,3270,9938173
3056,1461,4444929
3057,380,1156628
3058,1808,5495205
3059,742,2262292
3060,383,1168881
3062,2325,7023957
3063,2949,8960751
3064,4661,14192839
3065,992,3021274
3066,1425,4331064
3067,3797,11548292
3068,3252,9897832
3069,5138,15650219
3074,2341,7135366
3075,2125,6474117
3076,1903,5786580
3077,802,2441597
3078,879,2674077
3079,693,2109005
3080,191,582163
3081,593,1806683
3082,3908,11894350
4108,108,400139
(blank),19,51671
Grand Total,132427,402602077
